TaxonomicName,CatalogueNumber,Clade,Order,Family,Genus,FullName,VernacularName,Habit,LeafArrangement,LeafForm,LeafVenation,LeafMargin,Stipules,Exudate
Coptosperma nigrescens,K000032574,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma nigrescens Hook. f. ,,climber;shrub;tree,,,,,,
Coptosperma supra-axillare,K000032652,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma supra-axillare (Hemsl.) Degreef ,,shrub;tree,,,,,,
Coptosperma nigrescens,K000032661,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma nigrescens Hook. f. ,,climber;shrub;tree,,,,,,
Coptosperma nigrescens,K000032663,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma nigrescens Hook. f. ,fig,climber;shrub;tree,,,,,,
Coptosperma nigrescens,K000032664,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma nigrescens Hook. f. ,,climber;shrub;tree,,,,,,
Coptosperma nigrescens,K000032671,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma nigrescens Hook. f. ,,climber;shrub;tree,,,,,,
Coptosperma supra-axillare,K000032710,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma supra-axillare (Hemsl.) Degreef ,,shrub;tree,,,,,,
Coptosperma supra-axillare,K000032711,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma supra-axillare (Hemsl.) Degreef ,fig,shrub;tree,,,,,,
Coptosperma supra-axillare,K000032712,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma supra-axillare (Hemsl.) Degreef ,,shrub;tree,,,,,,
Coptosperma supra-axillare,K000032713,Eudicots-Asterids,Gentianales,Rubiaceae,Coptosperma,Coptosperma supra-axillare (Hemsl.) Degreef ,,shrub;tree,,,,,,
Ixora cremixora,K000032784,Eudicots-Asterids,Gentianales,Rubiaceae,Ixora,Ixora cremixora Drake ,,tree,,,,,,
Ixora cremixora,K000032875,Eudicots-Asterids,Gentianales,Rubiaceae,Ixora,Ixora cremixora Drake ,,tree,,,,,,
Ixora cremixora,K000032892,Eudicots-Asterids,Gentianales,Rubiaceae,Ixora,Ixora cremixora Drake ,,tree,,,,,,
Uncaria africana,K000032908,Eudicots-Asterids,Gentianales,Rubiaceae,Uncaria,Uncaria africana G. Don ,,climber,,,,,,
Uncaria africana,K000032909,Eudicots-Asterids,Gentianales,Rubiaceae,Uncaria,Uncaria africana G. Don ,,climber,,,,,,
Uncaria africana,K000032910,Eudicots-Asterids,Gentianales,Rubiaceae,Uncaria,Uncaria africana G. Don ,,climber,,,,,,
Uncaria africana,K000032911,Eudicots-Asterids,Gentianales,Rubiaceae,Uncaria,Uncaria africana G. Don ,,climber,,,,,,
Uncaria africana,K000032913,Eudicots-Asterids,Gentianales,Rubiaceae,Uncaria,Uncaria africana G. Don ,,climber,,,,,,
Tricalysia madagascariensis,K000032947,Eudicots-Asterids,Gentianales,Rubiaceae,Tricalysia,Tricalysia madagascariensis (Drake ex Dubard) A. Chev. ,,shrub;tree,,,,,,
Empogona ovalifolia,K000032955,Eudicots-Asterids,Gentianales,Rubiaceae,Empogona,Empogona ovalifolia (Hiern) Tosh & Robbr. ,,shrub;tree,,,,,,
Gardenia rutenbergiana,K000033335,Eudicots-Asterids,Gentianales,Rubiaceae,Gardenia,Gardenia rutenbergiana (Baill. ex Vatke) J.-F. Leroy ,,shrub;tree,,,,,,
Gardenia rutenbergiana,K000033336,Eudicots-Asterids,Gentianales,Rubiaceae,Gardenia,Gardenia rutenbergiana (Baill. ex Vatke) J.-F. Leroy ,,shrub;tree,,,,,,
Chassalia princei,K000033381,Eudicots-Asterids,Gentianales,Rubiaceae,Chassalia,Chassalia princei (Dubard & Dop) Bremek. ,,shrub,,,,,,
