TaxonomicName,CatalogueNumber,Clade,Order,Family,Genus,FullName,VernacularName,Habit,LeafArrangement,LeafForm,LeafVenation,LeafMargin,Stipules,Exudate,StemArmature,Tendrils
Polyscias boivinii,K000350329,Eudicots-Asterids,Apiales,Araliaceae,Polyscias,Polyscias boivinii (Seem.) Bernardi ,,shrub;tree,alternate,imparipinnate,pinnate,toothed,absent,clear resin,absent,absent
Polyscias boivinii,K000350330,Eudicots-Asterids,Apiales,Araliaceae,Polyscias,Polyscias boivinii (Seem.) Bernardi ,,shrub;tree,alternate,imparipinnate,pinnate,toothed,absent,clear resin,absent,absent
Polyscias boivinii,K001769343,Eudicots-Asterids,Apiales,Araliaceae,Polyscias,Polyscias boivinii (Seem.) Bernardi ,,shrub;tree,alternate,imparipinnate,pinnate,toothed,absent,clear resin,absent,absent
Brachylaena perrieri,K001521121,Eudicots-Asterids,Asterales,Asteraceae,Brachylaena,Brachylaena perrieri (Drake) Humbert ,,tree,alternate,simple,pinnate,entire,absent,none,absent,absent
Crassocephalum crepidioides,K002599850,Eudicots-Asterids,Asterales,Asteraceae,Crassocephalum,Crassocephalum crepidioides (Benth.) S. Moore ,,herb,alternate,simple,pinnate,toothed,absent,none,absent,absent
Crassocephalum crepidioides,K002599851,Eudicots-Asterids,Asterales,Asteraceae,Crassocephalum,Crassocephalum crepidioides (Benth.) S. Moore ,,herb,alternate,simple,pinnate,toothed,absent,none,absent,absent
Crassocephalum crepidioides,K002599851_a,Eudicots-Asterids,Asterales,Asteraceae,Crassocephalum,Crassocephalum crepidioides (Benth.) S. Moore ,,herb,alternate,simple,pinnate,toothed,absent,none,absent,absent
Crassocephalum crepidioides,K002599852,Eudicots-Asterids,Asterales,Asteraceae,Crassocephalum,Crassocephalum crepidioides (Benth.) S. Moore ,,herb,alternate,simple,pinnate,toothed,absent,none,absent,absent
Crassocephalum crepidioides,K002599853,Eudicots-Asterids,Asterales,Asteraceae,Crassocephalum,Crassocephalum crepidioides (Benth.) S. Moore ,,herb,alternate,simple,pinnate,toothed,absent,none,absent,absent
Crassocephalum crepidioides,K002599853_a,Eudicots-Asterids,Asterales,Asteraceae,Crassocephalum,Crassocephalum crepidioides (Benth.) S. Moore ,,herb,alternate,simple,pinnate,toothed,absent,none,absent,absent
