TaxonomicName,CatalogueNumber,Clade,Order,Family,Genus,FullName,VernacularName,TypeStatus,TypeName,DecimalLatitude,DecimalLongitude,Locality,RecordedBy,RecordNumber,CollectionDate,Country,ImageFile
Macaranga sp.,K004152003,,,Euphorbiaceae,Macaranga,Macaranga,,,,-13.216667,49.55,,"Nusbaumer, L.",LN1004,2004-01-16,Madagascar,K004152003
Macaranga sp.,K004152368,,,Euphorbiaceae,Macaranga,Macaranga,,,,-13.261944,49.589444,,"Ranarivelo, H.; Rakotonasolo, F.; Razafindratsira, A.; Rakotoniaina, J.C.",,2004-11-25,Madagascar,K004152368
Macaranga sp.,K004152008,,,Euphorbiaceae,Macaranga,Macaranga,,,,-13.876944,48.850556,,"Antilahimena, P.; Birkinshaw, C.; Lenkarabato; Cleiment",816,2001-11-15,Madagascar,K004152008
Macaranga sp.,K004152007,,,Euphorbiaceae,Macaranga,Macaranga,,,,-14.0525,48.284167,,"Rakotomalala, L.; Malcomber, S.; Velomaro, C.; Narison",2,1993-12-01,Madagascar,K004152007
Macaranga sp.,K004152373,,,Euphorbiaceae,Macaranga,Macaranga,,,,-14.241666,49.039167,,"Callmander, M.; Buerki, S.; Wohlhauser, S.; Jovazaha (guide)",,,Madagascar,K004152373
Macaranga sp.,K001898991,,,Euphorbiaceae,Macaranga,Macaranga,,,,-14.434333,49.757167,,"Koenen, E.; Onjalalaina, G.E.; Razafindrahaja, V.S",530,2014-02-17,Madagascar,K001898991
Macaranga sp.,K001037445,,,Euphorbiaceae,Macaranga,Macaranga,,,,-14.438056,49.748611,,"Rabarijaona, R.N.; Rakotoarinivo, M.; Baker, B.; Wolf, E.",,2015-05-14,Madagascar,K001037445
Macaranga sp.,K000664367,,,Euphorbiaceae,Macaranga,Macaranga,,,,-15.322222,49.846666,,"Ralimanana, H.; Andrianaivoravelona, B.; Mananjandry, A.; Jaovita",,2009-08-29,Madagascar,K000664367
Macaranga sp.,K004152010,,,Euphorbiaceae,Macaranga,Macaranga,,,,-15.424167,49.951389,,"Antilahimena, P.",2180,2003-10-11,Madagascar,K004152010
Macaranga sp.,K001370426,,,Euphorbiaceae,Macaranga,Macaranga,,,,-15.688611,47.483889,,"Rabarijaona, N.R.; Rajaovelona, L.; Rabehevitra, D.; Rakotoarison, F.",MDG 105 10 660 a,2017-11-28,Madagascar,
Macaranga sp.,K001370565,,,Euphorbiaceae,Macaranga,Macaranga,,,,-15.69,47.485833,,"Rabarijaona, N.R.; Rajaovelona, L.; Rabehevitra, D.; Rakotoarison, F.",MDG 105 10 668,2017-11-28,Madagascar,
Macaranga sp.,K006915764,,,Euphorbiaceae,Macaranga,Macaranga,,,,-16.335278,46.789722,,"Razafiniary, V.; Rakotoarisoa, S.E.; Razanajatovo, H.; Randrianasolo, V.; Andriamanohera, M.A.; Rakotonirina, J.",VELS87,2020-03-16,Madagascar,
Macaranga sp.,K001899352,,,Euphorbiaceae,Macaranga,Macaranga,,,,-16.807778,49.17,,"Razafitalama,J.L.; Rakotoarinivo,M.; Andrianatenaina,W.; Britt,A.; Ranaivomanana,T.; Andriamasy,A.T.; Tarimy,A. Tsiafindra.",531,2003-12-13,Madagascar,
Macaranga sp.,K004152385,,,Euphorbiaceae,Macaranga,Macaranga,,,,-16.914166,49.929444,,s.coll.,JT211,2006-01-18,Madagascar,K004152385
Macaranga sp.,K004152369,,,Euphorbiaceae,Macaranga,Macaranga,,,,-18.1175,47.196666,,"Lehavana, A.; Rasolofonirina, J.J.",,2005-07-30,Madagascar,K004152369
Macaranga sp.,K004152370,,,Euphorbiaceae,Macaranga,Macaranga,,,,-18.1175,47.196666,,"Lehavana, A.; Rasolofonirina, J.J.",,2005-07-30,Madagascar,K004152370
Macaranga sp.,K004152371,,,Euphorbiaceae,Macaranga,Macaranga,,,,-18.119167,47.193333,,"Lehavana, A.; Rasolofonirina, J.J.",,2005-07-31,Madagascar,K004152371
Macaranga sp.,K004152383,,,Euphorbiaceae,Macaranga,Macaranga,,,,-18.421111,48.806389,,"Razakamalala, R.; Andriamihajarivo, T.; Andriatiana, J.",2280,2005-10-01,Madagascar,K004152383
Macaranga sp.,K001600327,,,Euphorbiaceae,Macaranga,Macaranga,,,,-18.49474,48.25551,,"Frederiksen, L.K.; Ralimanana, H.; Rasdarijony, T.; Dabo, J.; Harris, K.D.; Letsara, R.",LKF006,2022-07-01,Madagascar,K001600327
Macaranga sp.,K004152366,,,Euphorbiaceae,Macaranga,Macaranga,,,,-18.813611,48.43,,"Ranarivelo, H.; Rolland Ranaivojaona",,2004-11-11,Madagascar,K004152366
Macaranga sp.,K004152374,,,Euphorbiaceae,Macaranga,Macaranga,,,,-18.851667,48.318333,,"Antilahimena, P.; Félix",,2005-01-12,Madagascar,K004152374
Macaranga sp.,K004152381,,,Euphorbiaceae,Macaranga,Macaranga,,,,-18.875,48.48,,"van Nek, F.I.",1998,1993-10-27,Madagascar,K004152381
Macaranga sp.,K004152375,,,Euphorbiaceae,Macaranga,Macaranga,,,,-18.95,48.416667,,"Flores, T.C.; Westerhaus, A.; Randrianaivo, R.; Rabenantoandro, J.; Randriarimalala, S.",,1998-11-17,Madagascar,K004152375
Macaranga sp.,K004152380,,,Euphorbiaceae,Macaranga,Macaranga,,,,-19.065555,48.49,,"Razanatsima, A.; Rasoarivety, L.; Galy, F.; Celestin; Zavason",464,2007-09-23,Madagascar,K004152380
Macaranga sp.,K004152009,,,Euphorbiaceae,Macaranga,Macaranga,,,,-19.1,48.463333,,"Razanatsima, A.; Rasoarivety, L.; Galy, F.; Celestin; Zavason",497,2007-09-25,Madagascar,K004152009
Macaranga sp.,K004152011,,,Euphorbiaceae,Macaranga,Macaranga,,,,-19.160278,48.580278,,"Razanatsima, A.; Ranaivojaona, R.",50,2005-10-08,Madagascar,K004152011
Macaranga sp.,K004152382,,,Euphorbiaceae,Macaranga,Macaranga,,,,-19.163889,48.576111,,"Razanatsima, A.",166,2006-09-19,Madagascar,K004152382
Macaranga sp.,K001993916,,,Euphorbiaceae,Macaranga,Macaranga,,,,-19.638889,47.695333,,"Ralimanana, H.; Rajaonarison, R.",638,2004-11-18,Madagascar,K001993916
Macaranga sp.,K000952736,,,Euphorbiaceae,Macaranga,Macaranga,,,,-20.3175,47.678889,,"Rabarijaona, N.R.; Rakotonasolo, F.; Rakotoarinivo, M.; Rajaovelona, L.",ROM415,2013-11-06,Madagascar,K000952736
Macaranga sp.,K001304304,,,Euphorbiaceae,Macaranga,Macaranga,,,,-20.536111,46.39,,"Rakotonasolo, F.; Randrianasolo, V.; Rajaovelona, L.",MDG113_5 31,2018-08-31,Madagascar,K001304304
Macaranga sp.,K006971787,,,Euphorbiaceae,Macaranga,Macaranga,,,,-21.189722,47.509444,,"Heritiana,R.; Rasabo,P.; Rabeson,P.",RHS 877,2006-02-21,Madagascar,K006971787
Macaranga sp.,K004152006,,,Euphorbiaceae,Macaranga,Macaranga,,,,-21.25,47.45,,"Rakotozafy, A.; Randriamanantena, D.",293,1993-10-05,Madagascar,K004152006
Macaranga sp.,K004152379,,,Euphorbiaceae,Macaranga,Macaranga,,,,-21.253333,47.404722,,s.coll.,7986,1998-11-03,Madagascar,K004152379
Macaranga sp.,K004152378,,,Euphorbiaceae,Macaranga,Macaranga,,,,-21.26,47.42,,s.coll.,7947,1998-11-01,Madagascar,K004152378
Macaranga sp.,K004152384,,,Euphorbiaceae,Macaranga,Macaranga,,,,-21.337778,47.665555,,s.coll.,8127,1998-11-14,Madagascar,K004152384
Macaranga sp.,K000663868,,,Euphorbiaceae,Macaranga,Macaranga,,,,-21.396944,47.940556,,"Ranarivelo, T.; Krishnan, S.; Rakotonasolo, F.; Rajaomanitra, J.P.",RTI801,2007-12-14,Madagascar,K000663868
Macaranga sp.,K001873852,,,Euphorbiaceae,Macaranga,Macaranga,,,,-23.526111,47.500278,,"Bussman, R.W.; et al",15206,2008-08-26,Madagascar,K001873852
Macaranga sp.,K004152004,,,Euphorbiaceae,Macaranga,Macaranga,,,,,,,"Humblot, M.",s.n.,,Madagascar,K004152004
Macaranga sp.,K004152367,,,Euphorbiaceae,Macaranga,Macaranga,,,,,,,"Acevedo-Rdgz, P.; Razafindraibe, H.V.",,2005-09-24,Madagascar,K004152367
Macaranga sp.,K004152376,,,Euphorbiaceae,Macaranga,Macaranga,,,,,,,s.coll.,,,Madagascar,K004152376
Macaranga sp.,K004152005,,,Euphorbiaceae,Macaranga,Macaranga,,,,,,,"Bernardi, L.",11845,1967-12-13,Madagascar,K004152005
Macaranga sp.,K004152377,,,Euphorbiaceae,Macaranga,Macaranga,,,,,,,[Boivin],s.n.,1847-01-01,Comoros,K004152377
Macaranga sp.,K004152334,,,Euphorbiaceae,Macaranga,Macaranga,,,,,,,"Rabevohitra, R.",2041,,Madagascar,K004152334; K004152334_a
Macaranga sp.,K004152372,,,Euphorbiaceae,Macaranga,Macaranga,,,,,,,s.coll.,,,Madagascar,K004152372
Macaranga alnifolia,K004152154,,,Euphorbiaceae,Macaranga,Macaranga alnifolia Baker,,,,-12.508889,49.175833,,"Trigui, S.M.; Razanajatovo, M.H.; Ramandimbimanana, S.D.",SMT437,2008-05-27,Madagascar,K004152154
Macaranga alnifolia,K004152107,,,Euphorbiaceae,Macaranga,Macaranga alnifolia Baker,,,,-12.516667,49.133333,,"Andrianantoanina, O.; Bezana, R.",,1993-07-04,Madagascar,K004152107
Macaranga alnifolia,K000609815,,,Euphorbiaceae,Macaranga,Macaranga alnifolia Baker,,,,-12.52,49.178333,,"van Nek, F.I.",,1993-10-09,Madagascar,K000609815
Macaranga alnifolia,K004152112,,,Euphorbiaceae,Macaranga,Macaranga alnifolia Baker,,,,-12.525,49.172222,,"Razafimandimbison, S.G.",,1995-06-17,Madagascar,K004152112
Macaranga alnifolia,K004152129,,,Euphorbiaceae,Macaranga,Macaranga alnifolia Baker,,,,-12.533333,49.183333,,"Malcomber, S.; Leeuwenberg, A.; van Bergen, M.; Andriatiana, J.; Randriamampionona, B.",,1992-11-16,Madagascar,K004152129
Macaranga alnifolia,K004152106,,,Euphorbiaceae,Macaranga,Macaranga alnifolia Baker,,,,-12.533333,49.183333,,"Malcomber, S.; Leeuwenberg, A.; van Bergen, M.; Andriatiana, J.; Randriamampionona, B.",,1992-11-16,Madagascar,K004152106
