TaxonomicName,CatalogueNumber,Clade,Order,Family,Genus,FullName,VernacularName,Habit,LeafArrangement,LeafForm,LeafVenation,LeafMargin,Stipules,Exudate,StemArmature,Tendrils
Agrocharis melanantha,K000953225,Eudicots-Asterids,Apiales,Apiaceae,Agrocharis,Agrocharis melanantha Hochst. ,,herb,alternate,bipinnate,pinnate,toothed,absent,none,absent,absent
Agrocharis melanantha,K000608297,Eudicots-Asterids,Apiales,Apiaceae,Agrocharis,Agrocharis melanantha Hochst. ,,herb,alternate,bipinnate,pinnate,toothed,absent,none,absent,absent
Agrocharis melanantha,K002724678,Eudicots-Asterids,Apiales,Apiaceae,Agrocharis,Agrocharis melanantha Hochst. ,,herb,alternate,bipinnate,pinnate,toothed,absent,none,absent,absent
Agrocharis melanantha,K002724677,Eudicots-Asterids,Apiales,Apiaceae,Agrocharis,Agrocharis melanantha Hochst. ,,herb,alternate,bipinnate,pinnate,toothed,absent,none,absent,absent
Agrocharis melanantha,K002724676,Eudicots-Asterids,Apiales,Apiaceae,Agrocharis,Agrocharis melanantha Hochst. ,,herb,alternate,bipinnate,pinnate,toothed,absent,none,absent,absent
Centella tussilaginifolia,K000310269,Eudicots-Asterids,Apiales,Apiaceae,Centella,Centella tussilaginifolia (Baker) Domin ,,herb,alternate,simple,palmate,crenate,absent,none,absent,absent
Centella tussilaginifolia,K000310274,Eudicots-Asterids,Apiales,Apiaceae,Centella,Centella tussilaginifolia (Baker) Domin ,,herb,alternate,simple,palmate,crenate,absent,none,absent,absent
Phellolophium madagascariense,K000311320,Eudicots-Asterids,Apiales,Apiaceae,Phellolophium,Phellolophium madagascariense Baker ,,herb,alternate,bipinnate,pinnate,toothed,absent,none,absent,absent
Phellolophium madagascariense,K000311328,Eudicots-Asterids,Apiales,Apiaceae,Phellolophium,Phellolophium madagascariense Baker ,,herb,alternate,bipinnate,pinnate,toothed,absent,none,absent,absent
Phellolophium madagascariense,K000311327,Eudicots-Asterids,Apiales,Apiaceae,Phellolophium,Phellolophium madagascariense Baker ,,herb,alternate,bipinnate,pinnate,toothed,absent,none,absent,absent
Phellolophium madagascariense,K000311329,Eudicots-Asterids,Apiales,Apiaceae,Phellolophium,Phellolophium madagascariense Baker ,,herb,alternate,bipinnate,pinnate,toothed,absent,none,absent,absent
Phellolophium madagascariense,K000311326,Eudicots-Asterids,Apiales,Apiaceae,Phellolophium,Phellolophium madagascariense Baker ,,herb,alternate,bipinnate,pinnate,toothed,absent,none,absent,absent
Sanicula elata,K002645619,Eudicots-Asterids,Apiales,Apiaceae,Sanicula,Sanicula elata Buch.-Ham. ex D. Don ,,herb,alternate,palmate,palmate,toothed,absent,none,absent,absent
Sanicula elata,K002645620,Eudicots-Asterids,Apiales,Apiaceae,Sanicula,Sanicula elata Buch.-Ham. ex D. Don ,,herb,alternate,palmate,palmate,toothed,absent,none,absent,absent
Sanicula elata,K002645618,Eudicots-Asterids,Apiales,Apiaceae,Sanicula,Sanicula elata Buch.-Ham. ex D. Don ,,herb,alternate,palmate,palmate,toothed,absent,none,absent,absent
Sanicula elata,K002645621,Eudicots-Asterids,Apiales,Apiaceae,Sanicula,Sanicula elata Buch.-Ham. ex D. Don ,,herb,alternate,palmate,palmate,toothed,absent,none,absent,absent
Sanicula elata,K002645622,Eudicots-Asterids,Apiales,Apiaceae,Sanicula,Sanicula elata Buch.-Ham. ex D. Don ,,herb,alternate,palmate,palmate,toothed,absent,none,absent,absent
Hydrocotyle mannii,K005514641,Eudicots-Asterids,Apiales,Araliaceae,Hydrocotyle,Hydrocotyle mannii Hook. f. ,,herb;shrub,alternate,simple,palmate,crenate,present,none,absent,absent
Hydrocotyle mannii,K005514639,Eudicots-Asterids,Apiales,Araliaceae,Hydrocotyle,Hydrocotyle mannii Hook. f. ,,herb;shrub,alternate,simple,palmate,crenate,present,none,absent,absent
