TaxonomicName,CatalogueNumber,Clade,Order,Family,Genus,FullName,VernacularName,TypeStatus,TypeName,DecimalLatitude,DecimalLongitude,Locality,RecordedBy,RecordNumber,CollectionDate,Country,InstitutionCode,ImageFile,Habit,LeafArrangement,LeafForm,LeafVenation,LeafMargin,Stipules,Exudate,StemArmature,Tendrils,LeafSample,DNAextracted,DNAsequenced,DNAnotes,EditedAt
Eremolaena humblotiana,K005434928,,,Sarcolaenaceae,Eremolaena,Eremolaena humblotiana,,,,-17.7278,48.9764,,"Randrianjanaka, L.; Zafy, P.",242,1994-10-26 00:00:00,Madagascar,K,K005434928,,,,,,,,,,,,,Not attempted,
Eremolaena humblotiana,K000391138,,,Sarcolaenaceae,Eremolaena,Eremolaena humblotiana,,,,-17.9,49.2167,,"Capuron, R.",18091,1957-08-20 00:00:00,Madagascar,K,K000391138,,,,,,,,,,,,,,
Eremolaena rotundifolia,K005434934,,,Sarcolaenaceae,Eremolaena,Eremolaena rotundifolia,,,,-24.95,47,,"Randriatafika, F.",759,2007-02-12 00:00:00,Madagascar,K,K005434934,,,,,,,,,,,,,Not attempted,
Eremolaena rotundifolia,K005434929,,,Sarcolaenaceae,Eremolaena,Eremolaena rotundifolia,,,,-24.7703,47.1478,,"Randriatafika, F.; Rabehevitra, D.; Ramison, R.; et al.",777,2007-03-08 00:00:00,Madagascar,K,K005434929,,,,,,,,,,,,,Not attempted,
Eremolaena rotundifolia,K004041664,,,Sarcolaenaceae,Eremolaena,Eremolaena rotundifolia,,,,-16.7122,50.0156,,"Rajaovelona, L.R.; Augustin; Anselme; Baker, W.J.; Eiserhardt, W.; Dennis, P.",RJL 1737,2024-05-14 00:00:00,Madagascar,K,K004041664,,,,,,,,,,,,,Not attempted,
Eremolaena rotundifolia,K005434930,,,Sarcolaenaceae,Eremolaena,Eremolaena rotundifolia,,,,-20.3728,48.5544,,"Razakamalala, R.; Ranaivojaona, R.; Rogers, Z.",1102,2004-04-16 00:00:00,Madagascar,K,K005434930,,,,,,,,,,,,,Not attempted,
Eremolaena rotundifolia,K005434933,,,Sarcolaenaceae,Eremolaena,Eremolaena rotundifolia,,,,-23.195,47.6897,,"Randriatsivery, M.; Rasoafaranaivo, M.; Rakotoarivony, F.",142,2006-02-09 00:00:00,Madagascar,K,K005434933; K005434933_a,,,,,,,,,,,,,Not attempted,
Eremolaena rotundifolia,K005434935,,,Sarcolaenaceae,Eremolaena,Eremolaena rotundifolia,,,,-24.5708,47.21,,"Birkinshaw, C.",1651,2006-05-25 00:00:00,Madagascar,K,K005434935,,,,,,,,,,,,,Not attempted,
Eremolaena rotundifolia,K000391135,,,Sarcolaenaceae,Eremolaena,Eremolaena rotundifolia,,,,,,,s.coll.,13325,,Madagascar,K,K000391135,,,,,,,,,,,,,Not attempted,
Eremolaena rotundifolia,K005434932,,,Sarcolaenaceae,Eremolaena,Eremolaena rotundifolia,,,,,,,"Razakamalala, R.; Rabevohitra, R.; Rakotomamonjy, T.; Gaspard; et al.",391,2003-03-23 00:00:00,Madagascar,K,K005434932,,,,,,,,,,,,,Not attempted,
Eremolaena sp.,K000391136,,,Sarcolaenaceae,Eremolaena,Eremolaena sp.,,,,-17.2167,49.4167,,s.coll.,16893,1957-03-21 00:00:00,Madagascar,K,K000391136,,,,,,,,,,,,,,
Eremolaena sp.,K000391133,,,Sarcolaenaceae,Eremolaena,Eremolaena sp.,,,,-24.7667,47.15,,"Rabevohitra, R.; Dumetz, N.; Gereau, R.",1942,1989-04-26 00:00:00,Madagascar,K,,,,,,,,,,,,,,,
Eremolaena sp.,K000391134,,,Sarcolaenaceae,Eremolaena,Eremolaena sp.,,,,-25.05,46.9333,,"Capuron, R.",11763,1955-02-01 00:00:00,Madagascar,K,K000391134,,,,,,,,,,,,,,
Eremolaena sp.,K000391137,,,Sarcolaenaceae,Eremolaena,Eremolaena sp.,,,,-25.0333,46.9667,,"Dorr, L.J.; Barnett, L.C.; Rakotozafy, A.; Cheek, M.R.; Razafimalala, N.",4050,1985-03-18 00:00:00,Madagascar,K,K000391137,,,,,,,,,,,,,,
Eremolaena darainensis,K001909986,,,Sarcolaenaceae,Eremolaena,Eremolaena darainensis,,,,-12.952,49.6933,,"Ranirison, P.; Nusbaumer, L.",PR 936,2005-02-17 00:00:00,Madagascar,K,K001909986,,,,,,,,,,,,,Not attempted,
Eremolaena humblotiana,K000240309,,,Sarcolaenaceae,Eremolaena,Eremolaena humblotiana,,Unknown,,,,,"Humblot, M.",245,,Madagascar,K,K000240309,,,,,,,,,,,,,,
